device,epochs,num_views,num_layers,hidden_dim,latent_dim,spot_batch_size,supervision,model_kind,use_spot_count_feature,use_resgcn,gcn_layers,gcn_knn,gcn_dropout,gcn_residual_scale,view_mixer_layers,view_mixer_dropout,self_weight,stable_weight,invariance_weight,val_spot_frac,early_stop_patience,private_dropout,best_epoch,best_val_loss,train_slice,test_slice,train_slice1_cell_pcc,train_slice1_cell_cmd,train_slice1_cell_ssim,train_slice1_spot_pcc,train_slice1_spot_ssim,train_slice1_spot_cmd,train_top50_var_gene_pcc_mean,test_slice2_cell_pcc,test_slice2_cell_cmd,test_slice2_cell_ssim,test_slice2_spot_pcc,test_slice2_spot_ssim,test_slice2_spot_cmd,test_top50_var_gene_pcc_mean,test_gene_epcam_pcc,test_gene_esr1_pcc,test_gene_pgr_pcc,slice1_num_cells,slice2_num_cells,slice1_num_spots,slice2_num_spots
cuda:0,800,3,2,256,128,1024,spot,intervention_stable_multiview_spot,True,True,2,12,0.05,0.5,2,0.1,0.5,1.0,0.4,0.0,0,0.5,-1,,rep1,rep2,0.34555721282958984,0.2559172511100769,0.4111716151237488,0.7620958685874939,0.6611409187316895,0.042260587215423584,0.61271071434021,0.3136242926120758,0.2666980028152466,0.4039314091205597,0.47862833738327026,0.4725917875766754,0.1018134355545044,0.5761875510215759,0.8051472902297974,0.40637844800949097,0.14362262189388275,164000,111345,4752,3601
cuda:1,700,3,2,256,128,1024,spot,intervention_stable_multiview_spot,True,True,2,12,0.05,0.5,2,0.1,0.5,1.0,0.4,0.0,0,0.5,-1,,rep1,rep2,0.3409553170204162,0.2644380331039428,0.4037708938121795,0.7273892164230347,0.6283911466598511,0.0514668822288513,0.6093783378601074,0.3177087903022766,0.2739094495773315,0.3970343172550201,0.4874248504638672,0.4744265973567962,0.1168882846832275,0.5814513564109802,0.8078421950340271,0.4191934466361999,0.1754443049430847,164000,111345,4752,3601
